product_id,barcode,brand,name,category,skin_type_tags,concern_tags,texture,price_tier,fragrance_free,alcohol_free,essential_oil_free,comedogenic_caution,notes
1,8801000000011,Anua,Heartleaf 77 Soothing Toner,Toner,"oily,combination,sensitive","redness,acne,barrier",watery,mid,yes,yes,yes,no,"Light soothing toner demo record."
2,8801000000028,Round Lab,Birch Juice Moisturizing Sunscreen,Sunscreen,"dry,normal,combination","hydration,sun_protection,barrier",cream,mid,yes,yes,yes,no,"Hydrating sunscreen demo record. Some users report eye sting with sunscreens generally."
3,8801000000035,COSRX,Advanced Snail 96 Mucin Power Essence,Essence,"dry,normal,sensitive","hydration,barrier,texture",gel,mid,yes,yes,yes,no,"Hydrating essence demo record. Avoid if personally sensitive to snail mucin."
4,8801000000042,Beauty of Joseon,Relief Sun Rice Probiotics,Sunscreen,"dry,normal,combination","sun_protection,barrier,hydration",cream,mid,yes,yes,yes,no,"Comfort sunscreen demo record."
5,8801000000059,Etude,SoonJung 2x Barrier Intensive Cream,Moisturiser,"dry,sensitive,normal","barrier,redness,hydration",cream,budget,yes,yes,yes,no,"Simple barrier cream demo record."
6,8801000000066,Illiyoon,Ceramide Ato Concentrate Cream,Moisturiser,"dry,sensitive,normal","barrier,hydration,eczema_prone",rich cream,budget,yes,yes,yes,yes,"Rich cream demo record; may feel heavy for oily skin."
7,8801000000073,Torriden,Dive-In Low Molecular Hyaluronic Acid Serum,Serum,"dry,dehydrated,combination","hydration,barrier",watery serum,mid,yes,yes,yes,no,"Hydration serum demo record."
8,8801000000080,Skin1004,Madagascar Centella Ampoule,Ampoule,"oily,combination,sensitive","redness,acne,barrier",watery,mid,yes,yes,yes,no,"Minimal soothing ampoule demo record."
9,8801000000097,Axis-Y,Dark Spot Correcting Glow Serum,Serum,"oily,combination,normal","hyperpigmentation,brightening,acne",gel serum,mid,yes,yes,yes,no,"Brightening serum demo record with niacinamide."
10,8801000000103,Some By Mi,AHA BHA PHA 30 Days Miracle Toner,Toner,"oily,acne-prone,combination","acne,texture,blackheads",watery,mid,no,yes,no,yes,"Exfoliating toner demo record; use carefully if sensitive."
11,8801000000110,Isntree,Hyaluronic Acid Watery Sun Gel,Sunscreen,"dry,combination,normal","sun_protection,hydration",gel cream,mid,yes,yes,yes,no,"Light sunscreen demo record."
12,8801000000127,Dr.G,Red Blemish Clear Soothing Cream,Moisturiser,"oily,combination,sensitive","redness,acne,barrier",gel cream,mid,yes,yes,yes,no,"Gel moisturiser demo record."
13,8801000000134,Pyunkang Yul,Essence Toner,Toner,"dry,sensitive,normal","hydration,barrier,redness",watery toner,budget,yes,yes,yes,no,"Simple hydrating toner demo record."
14,8801000000141,I'm From,Rice Toner,Toner,"dry,normal,combination","brightening,hydration,dullness",milky toner,mid,yes,yes,yes,no,"Milky toner demo record."
15,8801000000158,Klairs,Supple Preparation Unscented Toner,Toner,"dry,combination,sensitive","hydration,barrier,redness",watery toner,mid,yes,yes,yes,no,"Unscented hydrating toner demo record."
16,8801000000165,Medicube,Zero Pore Pad,Toner Pad,"oily,combination","pores,blackheads,texture",pad,mid,no,yes,no,yes,"Toner pad demo record; exfoliating products can irritate sensitive skin."
17,8801000000172,Round Lab,1025 Dokdo Cleanser,Cleanser,"oily,combination,normal","daily_cleanse,barrier",foam,budget,yes,yes,yes,no,"Gentle cleanser demo record."
18,8801000000189,Anua,Heartleaf Pore Control Cleansing Oil,Oil Cleanser,"oily,combination,normal","blackheads,makeup_removal,pores",oil,mid,no,yes,no,yes,"Oil cleanser demo record; can be unsuitable for some acne-prone users."
19,8801000000196,COSRX,Low pH Good Morning Gel Cleanser,Cleanser,"oily,combination,acne-prone","daily_cleanse,acne",gel,budget,no,yes,no,yes,"Gel cleanser demo record with tea tree related ingredient flag."
20,8801000000202,Laneige,Cream Skin Cerapeptide Refiner,Toner,"dry,normal,sensitive","barrier,hydration,dryness",milky toner,mid,yes,yes,yes,yes,"Rich hydrating toner demo record."
21,8801000000219,Numbuzin,No.3 Skin Softening Serum,Serum,"normal,combination","texture,dullness,barrier",serum,mid,no,yes,no,no,"Ferment serum demo record; patch test if reactive."
22,8801000000226,Haruharu Wonder,Black Rice Hyaluronic Toner Fragrance Free,Toner,"dry,sensitive,normal","hydration,barrier,dullness",watery toner,mid,yes,yes,yes,no,"Fragrance-free toner demo record."
23,8801000000233,Beauty of Joseon,Glow Serum Propolis Niacinamide,Serum,"oily,combination,acne-prone","acne,brightening,redness",gel serum,mid,yes,yes,yes,no,"Propolis and niacinamide demo record."
24,8801000000240,Goodal,Green Tangerine Vita C Dark Spot Serum,Serum,"normal,combination,oily","hyperpigmentation,brightening,dullness",serum,mid,no,yes,no,no,"Vitamin C style brightening demo record; can irritate some sensitive users."
25,8801000000257,Aestura,Atobarrier 365 Cream,Moisturiser,"dry,sensitive,normal","barrier,dryness,eczema_prone",cream,high,yes,yes,yes,yes,"Barrier cream demo record."
26,8801000000264,Abib,Heartleaf Spot Pad Calming Touch,Toner Pad,"oily,combination,sensitive","redness,acne,texture",pad,mid,yes,yes,yes,no,"Calming pad demo record."
27,8801000000271,Isntree,Chestnut BHA 2 Clear Liquid,Exfoliant,"oily,combination,acne-prone","blackheads,pores,texture",watery,mid,yes,yes,yes,yes,"BHA exfoliant demo record; avoid overuse."
28,8801000000288,Ma:nyo,Pure Cleansing Oil,Oil Cleanser,"dry,normal,combination","makeup_removal,pores",oil,mid,no,yes,no,yes,"Oil cleanser demo record with fragrance/essential oil caution."
30,8801000000301,COSRX,The Retinol 0.1 Cream,Treatment,"normal,oily,combination","texture,acne,anti_aging",cream,mid,yes,yes,yes,yes,"Retinol demo record; avoid if pregnant unless medically cleared."
31,8801000000318,VT Cosmetics,Reedle Shot 100,Treatment,"normal,oily,combination","texture,acne_scars,pores",serum,mid,no,yes,no,yes,"Spicule treatment demo record; can sting and may not suit sensitive skin."
32,8801000000325,VT Cosmetics,Reedle Shot 300,Treatment,"normal,oily,combination","texture,acne_scars,pores",serum,high,no,yes,no,yes,"Stronger spicule treatment demo record; introduce slowly."
33,8801000000332,Biodance,Bio-Collagen Real Deep Mask,Mask,"dry,normal,combination","hydration,barrier,glow",hydrogel mask,mid,yes,yes,yes,no,"Hydrogel mask demo record."
34,8801000000349,Anua,Niacinamide 10 TXA 4 Serum,Serum,"oily,combination,normal","hyperpigmentation,brightening,acne_marks",serum,mid,yes,yes,yes,no,"High niacinamide demo record; avoid if niacinamide-sensitive."
35,8801000000356,Mixsoon,Bean Essence,Essence,"dry,normal,combination","hydration,texture,dullness",gel essence,mid,yes,yes,yes,no,"Ferment-style essence demo record."
